(The Angels Wanna Wear My) Red Shoes,0.577,0.636,4,-9.825,1,0.0491,0.0556,0.00016,0.226,0.901,134.768,167680,4
"(What's So Funny 'Bout) Peace, Love And Understanding",0.381,0.918,7,-9.451,1,0.0803,0.000466,0.0511,0.321,0.368,142.34,211630,4
Accidents Will Happen,0.608,0.597,0,-11.115,1,0.0276,0.0441,0.00342,0.285,0.736,120.077,181720,4
Alison,0.557,0.32,1,-10.792,0,0.0438,0.739,3.99e-05,0.112,0.377,176.647,204533,4
Band On The Run,0.479,0.601,7,-8.806,1,0.0318,0.0832,0.00142,0.11,0.669,124.966,313027,4
Dance Tonight,0.531,0.891,5,-2.539,1,0.0431,0.0823,0.00551,0.161,0.926,170.973,174933,4
Don't Dream It's Over,0.439,0.422,8,-17.227,1,0.0409,0.0148,4.84e-05,0.0697,0.551,81.833,236933,4
Fall At Your Feet,0.65,0.371,0,-13.623,0,0.026,0.457,0.0116,0.102,0.561,102.583,198800,4
Four Seasons In One Day,0.517,0.261,7,-17.196,1,0.0263,0.816,0.000163,0.0863,0.492,89.221,170160,4
Friend Like You,0.571,0.262,11,-17.502,1,0.0357,0.54,0.0408,0.141,0.19,87.891,140400,4
Get Lost Get High Get Sick,0.461,0.87,4,-3.022,1,0.0302,0.00171,2.95e-05,0.299,0.832,97.375,156573,4
Helplessly Hoping,0.483,0.159,7,-13.648,1,0.0353,0.914,0,0.111,0.423,146.721,157893,4
I'd Rather Be With You [Radio Edit],0.574,0.481,1,-12.306,1,0.0353,0.0717,0.000296,0.113,0.228,81.58,169213,4
If You Live Round Here,0.439,0.81,2,-3.82,0,0.0363,0.0609,0,0.0944,0.893,146.227,129013,4
In Sleep,0.625,0.834,1,-5.727,0,0.0356,0.000922,2.76e-06,0.189,0.709,133.017,296973,4
Little Lovin',0.599,0.712,4,-6.556,0,0.0487,0.557,0.00102,0.122,0.378,116.047,268960,4
Live And Let Die,0.419,0.36,7,-15.375,1,0.058,0.234,0.000432,0.207,0.232,153.974,190933,5
Man Who Used To Be,0.264,0.912,9,-3.67,1,0.0805,6.44e-05,3.49e-05,0.355,0.707,169.183,143400,4
